timestamp,tag_id,x,y,z,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist,device_timestamp
2025-11-27 15:46:46.172,1,2.163582,3.457177,0.160672,4.414188,3.232031,4.012607,8.753673,8.98005,4.625867,8248
2025-11-27 15:46:46.172,1,2.165728,3.460891,1,4.414356,3.230091,4.001998,8.748751,8.97487,4.632126,8273
2025-11-27 15:46:46.172,1,2.169318,3.460769,0.16432,4.417593,3.239969,3.992696,8.753199,8.973939,4.625615,8298
2025-11-27 15:46:46.172,1,2.171317,3.456181,1,4.414939,3.237313,3.990624,8.756665,8.978391,4.624682,8323
2025-11-27 15:46:46.275,1,2.170454,3.455626,0.161975,4.414941,3.234208,4.00247,8.753154,8.972541,4.619813,8348
2025-11-27 15:46:46.275,1,2.1659,3.455311,1,4.420121,3.229717,4.011702,8.753524,8.977302,4.611877,8373
2025-11-27 15:46:46.275,1,2.167461,3.455578,0.157663,4.41898,3.225181,4.012684,8.748635,8.970657,4.618118,8398
2025-11-27 15:46:46.275,1,2.165621,3.457663,1,4.420161,3.215434,4.008272,8.747931,8.97894,4.615733,8423
2025-11-27 15:46:46.275,1,2.165897,3.464704,0.157589,4.431437,3.213016,3.995514,8.754632,8.974005,4.618016,8448
2025-11-27 15:46:46.332,1,2.179076,3.498285,1,4.437117,3.210095,3.844751,8.755712,8.969123,4.628079,8477
2025-11-27 15:46:46.332,1,2.18663,3.505022,0.173384,4.451899,3.20989,3.892932,8.754482,8.953929,4.629709,8502
2025-11-27 15:46:46.380,1,2.183054,3.50253,1,4.448922,3.204553,3.906665,8.764914,8.959691,4.62166,8527
2025-11-27 15:46:46.380,1,2.181044,3.498819,0.167837,4.447637,3.209713,3.921509,8.759583,8.961075,4.623671,8552
2025-11-27 15:46:46.480,1,2.180281,3.496651,1,4.440423,3.21477,3.917545,8.758533,8.95594,4.622131,8577
2025-11-27 15:46:46.481,1,2.181847,3.495467,0.165802,4.451368,3.213533,3.927917,8.755646,8.966435,4.61679,8602
2025-11-27 15:46:46.482,1,2.183393,3.487289,1,4.443331,3.221889,3.948425,8.752359,8.955976,4.609521,8627
2025-11-27 15:46:46.482,1,2.1766,3.477979,0.164293,4.428783,3.220116,3.9613,8.754976,8.961287,4.616282,8652
2025-11-27 15:46:46.582,1,2.173682,3.478553,1,4.426766,3.2177,3.94959,8.763228,8.95507,4.620515,8677
2025-11-27 15:46:46.582,1,2.175238,3.477839,0.167396,4.430371,3.222029,3.951854,8.763446,8.953332,4.619672,8702
2025-11-27 15:46:46.582,1,2.167558,3.475584,1,4.419719,3.220226,3.965008,8.763616,8.961296,4.624192,8727
2025-11-27 15:46:46.582,1,2.159654,3.463365,0.162764,4.403135,3.217785,3.982508,8.770996,8.965432,4.613219,8752
2025-11-27 15:46:47.091,1,2.209301,3.56636,0.043074,4.411955,3.220025,0.0,8.791245,8.995577,4.642979,9214
2025-11-27 15:46:47.198,1,2.165936,3.506062,1,4.421935,3.24455,3.987862,8.807024,9.022175,4.666171,9238
2025-11-27 15:46:47.198,1,2.144206,3.485336,0.171606,4.43489,3.259521,3.998246,8.812073,9.021158,4.689422,9263
2025-11-27 15:46:47.198,1,2.141638,3.478515,1,4.457411,3.276366,4.015658,8.82222,9.037969,4.697187,9288
2025-11-27 15:46:47.198,1,2.139528,3.474665,0.162796,4.480139,3.286386,4.047866,8.827022,9.054175,4.698061,9313
2025-11-27 15:46:47.198,1,2.139224,3.470049,1,4.493709,3.294195,4.068823,8.827657,9.058522,4.695636,9338
2025-11-27 15:46:47.198,1,2.138543,3.46321,0.159223,4.504284,3.304422,4.086191,8.842648,9.071229,4.707207,9363
2025-11-27 15:46:47.301,1,2.140444,3.475786,1,4.52081,3.310321,4.050025,8.84087,9.079061,4.712082,9388
2025-11-27 15:46:47.302,1,2.148996,3.485649,0.166477,4.525404,3.315954,4.028052,8.84052,9.089305,4.712776,9413
2025-11-27 15:46:47.302,1,2.153087,3.485437,1,4.535197,3.32345,4.041993,8.841283,9.097289,4.720564,9438
2025-11-27 15:46:47.302,1,2.146775,3.488897,0.16278,4.540758,3.327221,4.056998,8.841877,9.122149,4.734917,9463
2025-11-27 15:46:47.360,1,2.146899,3.484111,1,4.530595,3.340514,4.066621,8.843375,9.10321,4.741961,9491
2025-11-27 15:46:47.360,1,2.144829,3.476025,0.175043,4.500931,3.350873,4.038915,8.843508,9.134011,4.739166,9516
