timestamp,tag_id,x,y,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist
2025-11-25 12:52:37.975,1,5.898048,1.007296,6.168768,7.369488,5.624131,6.456456,0,0
2025-11-25 12:52:38.028,1,5.898514,1.115293,6.220452,7.372585,5.543738,6.452075,0,0
2025-11-25 12:52:38.090,1,5.912377,1.173471,6.277604,7.383046,5.536791,6.441343,0,0
2025-11-25 12:52:38.996,1,5.914229,1.197139,6.305556,7.376193,5.538749,6.432123,0,0
2025-11-25 12:52:39.045,1,5.964414,1.334862,6.475642,7.353855,5.511695,6.31876,0,0
2025-11-25 12:52:39.096,1,5.992349,1.461387,6.576561,7.342336,5.464947,6.253783,0,0
2025-11-25 12:52:39.158,1,6.023472,1.494686,6.6284,7.351391,5.472517,6.219059,0,0
2025-11-25 12:52:39.218,1,6.03827,1.526966,6.625644,7.372581,5.417173,6.216615,0,0
2025-11-25 12:52:39.265,1,6.04508,1.471456,6.573892,7.37454,5.42176,6.210339,0,0
2025-11-25 12:52:39.315,1,6.053788,1.459761,6.579034,7.377238,5.432654,6.196204,0,0
2025-11-25 12:52:39.374,1,6.056774,1.446159,6.601638,7.387867,5.467842,6.209088,0,0
2025-11-25 12:52:39.425,1,6.044631,1.451378,6.590306,7.373363,5.464253,6.213439,0,0
2025-11-25 12:52:39.476,1,6.052368,1.452523,6.572426,7.383397,5.441295,6.210319,0,0
2025-11-25 12:52:39.534,1,6.050917,1.404412,6.555167,7.40195,5.469939,6.234304,0,0
2025-11-25 12:52:39.584,1,6.050185,1.412287,6.540052,7.407407,5.433731,6.241959,0,0
2025-11-25 12:52:39.646,1,6.047726,1.422254,6.537785,7.417938,5.429179,6.261793,0,0
2025-11-25 12:52:39.696,1,5.973064,1.450911,6.540195,7.413031,5.47446,6.397542,0,0
2025-11-25 12:52:39.755,1,6.049085,1.36498,6.541646,7.406001,5.499966,6.225471,0,0
2025-11-25 12:52:39.807,1,6.104503,1.300153,6.533236,7.412114,5.516043,6.146674,0,0
2025-11-25 12:52:39.863,1,6.118714,1.230981,6.513837,7.436886,5.565413,6.164759,0,0
2025-11-25 12:52:39.916,1,6.035735,1.293,6.510214,7.431865,5.558172,6.321582,0,0
2025-11-25 12:52:39.970,1,5.852079,1.448372,6.495992,7.41736,5.533022,6.610255,0,0
2025-11-25 12:52:40.024,1,5.809177,1.475531,6.471351,7.412028,5.521888,6.646489,0,0
2025-11-25 12:52:40.087,1,5.805958,1.439033,6.470481,7.394942,5.566457,6.634498,0,0
2025-11-25 12:52:41.045,1,5.831881,1.402453,6.47014,7.405001,5.588159,6.591912,0,0
2025-11-25 12:52:41.097,1,5.878704,1.383752,6.433031,7.336322,5.510777,6.440637,0,0
2025-11-25 12:52:41.125,1,5.891261,1.396347,6.389258,7.291868,5.434169,6.373944,0,0
2025-11-25 12:52:41.176,1,5.883599,1.388333,6.343992,7.257615,5.408696,6.353351,0,0
2025-11-25 12:52:41.228,1,5.870093,1.339269,6.325637,7.229181,5.458997,6.341032,0,0
2025-11-25 12:52:41.290,1,5.850731,1.378647,6.348287,7.198215,5.43955,6.336807,0,0
