Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_m,Filtered_Distance_m,Signal_Power_dBm,Anchor_Status
1,32720,3,6.8547,6.1233,-82.40,1
1,32726,4,9.9794,10.1579,-83.32,1
1,32732,5,7.9948,8.3748,-82.44,1
1,32817,1,6.8594,7.2932,-84.84,1
1,32823,2,5.0859,4.5223,-83.18,1
1,32829,3,6.9250,6.3002,-82.66,1
1,32836,4,9.9418,10.1103,-83.83,1
1,32842,5,7.8681,8.2629,-82.59,1
1,32912,1,6.7608,7.1757,-84.21,1
1,32918,2,5.2829,4.6902,-84.46,1
1,32925,3,6.9720,6.4485,-83.43,1
1,32931,4,9.9184,10.0679,-83.08,1
1,32937,5,7.7977,8.1603,-81.91,1
1,33006,1,6.6435,7.0583,-84.44,1
1,33012,2,4.8513,4.7257,-86.36,1
1,33019,3,6.9110,6.5506,-82.36,1
1,33025,4,9.8339,10.0163,-83.06,1
1,33031,5,7.7461,8.0689,-81.52,1
1,33117,1,6.5169,6.9388,-84.52,1
1,33123,2,5.2172,4.8342,-86.95,1
1,33129,3,6.8359,6.6135,-85.16,1
1,33136,4,9.7307,9.9533,-83.35,1
1,33142,5,7.6007,7.9655,-81.38,1
1,33208,1,6.3714,6.8136,-83.92,1
1,33214,2,5.4565,4.9715,-84.84,1
1,33220,3,7.1456,6.7309,-82.27,1
1,33227,4,9.7166,9.9010,-84.18,1
1,33233,5,7.5397,7.8715,-81.83,1
1,33317,1,6.2917,6.6984,-84.61,1
1,33323,2,5.6770,5.1272,-85.33,1
1,33330,3,7.2722,6.8504,-78.92,1
1,33336,4,9.6510,9.8458,-83.72,1
1,33342,5,7.4552,7.7797,-80.81,1
1,33413,1,6.2166,6.5921,-83.47,1
1,33420,2,6.0148,5.3231,-83.51,1
1,33426,3,7.3379,6.9580,-78.60,1
1,33432,4,9.6557,9.8039,-83.16,1
1,33438,5,7.3332,7.6811,-81.43,1
1,33508,1,6.0383,6.4698,-84.84,1
1,33514,2,5.8178,5.4323,-85.21,1
1,33521,3,7.3895,7.0532,-83.47,1
1,33527,4,9.6838,9.7774,-84.62,1
1,33533,5,7.2863,7.5940,-80.15,1
1,33618,1,5.9961,6.3653,-82.57,1
1,33624,2,5.5550,5.4594,-87.69,1
1,33630,3,7.3895,7.1275,-84.24,1
1,33637,4,9.5571,9.7288,-86.12,1
1,33643,5,7.1080,7.4867,-81.83,1
1,33713,1,5.8788,6.2579,-82.42,1
1,33719,2,5.9538,5.5685,-87.23,1
1,33726,3,7.2816,7.1615,-83.68,1
1,33732,4,9.5524,9.6898,-85.19,1
1,33738,5,7.0142,7.3825,-81.14,1
1,33807,1,5.7615,6.1484,-83.43,1
1,33814,2,6.1603,5.6991,-85.16,1
1,33820,3,7.3004,7.1921,-82.44,1
1,33826,4,9.5900,9.6678,-83.84,1
1,33832,5,6.9250,7.2815,-80.65,1
1,33918,1,5.6489,6.0381,-83.08,1
1,33924,2,6.4230,5.8589,-85.11,1
1,33931,3,7.5068,7.2616,-84.84,1
1,33937,4,9.5477,9.6413,-82.98,1
1,33943,5,6.8781,7.1925,-80.20,1
1,34013,1,5.4800,5.9149,-83.77,1
1,34019,2,6.5450,6.0103,-83.76,1
1,34025,3,7.7789,7.3758,-84.34,1
1,34032,4,9.4867,9.6072,-83.72,1
1,34038,5,6.7421,7.0931,-78.15,1
1,34107,1,5.4378,5.8096,-82.25,1
1,34114,2,6.4653,6.1107,-85.90,1
1,34120,3,8.1637,7.5497,-83.56,1
1,34126,4,9.4492,9.5723,-83.64,1
1,34132,5,6.6482,6.9949,-81.27,1
1,34218,1,5.2782,5.6924,-84.18,1
1,34224,2,6.6435,6.2283,-87.45,1
1,34231,3,8.3607,7.7287,-83.05,1
1,34237,4,9.4727,9.5503,-84.92,1
1,34243,5,6.5497,6.8966,-81.51,1
1,34314,1,5.1703,5.5771,-85.37,1
1,34320,2,6.4183,6.2702,-91.21,1
1,34326,3,8.3513,7.8661,-81.99,1
1,34333,4,9.5102,9.5415,-83.64,1
1,34339,5,6.5169,6.8128,-80.76,1
1,34408,1,5.0765,5.4667,-83.86,1
1,34414,2,6.6905,6.3630,-91.29,1
1,34421,3,8.3420,7.9711,-83.71,1
1,34430,4,9.5243,9.5377,-83.26,1
1,34436,5,6.4183,6.7258,-81.37,1
1,34507,1,4.9873,5.3609,-82.92,1
1,34513,2,6.8031,6.4601,-88.24,1
1,34519,3,8.3842,8.0623,-82.84,1
1,34526,4,9.5430,9.5389,-83.95,1
1,34532,5,6.3808,6.6496,-80.99,1
1,34616,1,4.7997,5.2370,-83.19,1
1,34622,2,7.0236,6.5845,-88.49,1
1,34629,3,8.4968,8.1582,-84.28,1
1,34635,4,9.4914,9.5284,-83.51,1
1,34641,5,6.2541,6.5623,-81.04,1
1,34712,1,4.6824,5.1146,-82.39,1
1,34718,2,7.2347,6.7280,-86.04,1
1,34724,3,8.6235,8.2609,-83.32,1
1,34731,4,9.5102,9.5244,-85.51,1
1,34737,5,6.1462,6.4705,-78.30,1
1,34807,1,4.4900,4.9768,-81.91,1
1,34813,2,7.4693,6.8916,-84.84,1
1,34820,3,8.6891,8.3554,-82.43,1
1,34826,4,9.4586,9.5099,-86.06,1
1,34832,5,6.1134,6.3917,-80.72,1
1,34918,1,4.3680,4.8424,-80.86,1
1,34924,2,7.6429,7.0574,-85.01,1
1,34930,3,8.7314,8.4384,-84.32,1
1,34937,4,9.5102,9.5099,-83.72,1
1,34944,5,6.0430,6.3147,-78.60,1
1,35014,1,4.1897,4.6984,-81.47,1
1,35020,2,7.6757,7.1938,-86.44,1
1,35027,3,9.7120,8.7194,-83.55,1
1,35033,4,9.5665,9.5224,-84.92,1
1,35039,5,5.9867,6.2423,-81.24,1
1,35108,1,4.1522,4.5778,-77.29,1
1,35115,2,7.7789,7.3230,-88.82,1
1,35121,3,9.4164,8.8732,-84.18,1
1,35127,4,9.5806,9.5353,-84.68,1
1,35133,5,5.9304,6.1735,-81.36,1
1,35219,1,3.9176,4.4321,-78.76,1
1,35225,2,7.9525,7.4619,-87.15,1
1,35231,3,9.2850,8.9641,-83.31,1
1,35238,4,9.5524,9.5391,-90.70,1
1,35244,5,5.8882,6.1105,-82.41,1
1,35314,1,3.8285,4.2989,-78.08,1
1,35320,2,8.1027,7.6033,-86.52,1
1,35326,3,10.0967,9.2141,-81.91,1
1,35333,4,9.6040,9.5534,-86.70,1
1,35339,5,5.8272,6.0480,-82.80,1
1,35408,1,3.7065,4.1682,-80.76,1
1,35415,2,8.2528,7.7467,-88.74,1
1,35421,3,10.2374,9.4399,-83.92,1
1,35427,4,9.6697,9.5791,-85.77,1
1,35434,5,5.7709,5.9868,-83.29,1
1,35519,1,3.6314,4.0497,-76.60,1
1,36114,3,10.3969,9.6511,-81.61,1
1,36121,4,10.2515,9.7275,-85.77,1
1,36127,5,5.4987,5.8791,-87.15,1
1,36217,1,2.7588,3.7648,-74.98,1
1,36224,2,9.1161,8.0489,-88.01,1
1,36230,3,10.5705,9.8540,-81.38,1
1,36236,4,10.1764,9.8266,-83.77,1
1,36242,5,5.5550,5.8076,-86.22,1
1,36313,1,2.5992,3.5076,-79.72,1
1,36319,2,9.2099,8.3051,-88.74,1
1,36326,3,10.6362,10.0267,-81.83,1
1,36332,4,10.2374,9.9172,-83.32,1
1,36338,5,5.6160,5.7653,-85.08,1
1,36407,1,2.5148,3.2885,-75.36,1
1,36414,2,9.2850,8.5214,-90.29,1
1,36420,3,10.7629,10.1892,-81.61,1
1,36426,4,10.2984,10.0014,-83.71,1
1,36432,5,5.8788,5.7904,-85.11,1
1,36518,1,2.3553,3.0825,-75.44,1
1,36524,2,9.3929,8.7137,-89.88,1
1,36531,3,10.8474,10.3344,-82.15,1
1,36537,4,10.3969,10.0887,-82.70,1
1,36543,5,5.8131,5.7954,-85.00,1
1,36613,1,2.2474,2.8982,-74.72,1
1,36619,2,9.4727,8.8812,-90.29,1
1,36625,3,11.0303,10.4880,-81.91,1
1,36632,4,10.4298,10.1640,-85.15,1
1,36638,5,5.8319,5.8034,-85.43,1
1,36707,1,2.1160,2.7256,-72.32,1
1,36713,2,9.4164,8.9993,-89.03,1
1,36720,3,11.1007,10.6232,-82.58,1
1,36726,4,10.4673,10.2309,-83.08,1
1,36732,5,5.9116,5.8273,-86.20,1
1,36817,1,2.0128,2.5683,-72.38,1
1,36823,2,9.5149,9.1131,-88.12,1
1,36829,3,11.3072,10.7742,-83.83,1
1,36836,4,10.5330,10.2976,-83.34,1
1,36842,5,5.6489,5.7879,-88.03,1
1,36913,1,1.8955,2.4198,-72.05,1
1,36919,2,9.7073,9.2442,-87.77,1
1,36925,3,11.3353,10.8980,-85.27,1
1,36932,4,10.6409,10.3734,-83.86,1
1,36938,5,5.8788,5.8080,-84.92,1
1,37007,1,1.7688,2.2761,-75.15,1
1,37013,2,11.7341,9.7937,-88.20,1
1,37019,3,11.2602,10.9779,-87.15,1
1,37026,4,10.6925,10.4438,-84.53,1
1,37032,5,5.7052,5.7853,-86.89,1
1,37117,1,1.6797,2.1445,-72.53,1
1,37123,2,10.1717,9.8772,-88.82,1
1,37130,3,11.3541,11.0610,-87.63,1
1,37136,4,10.8427,10.5318,-83.40,1
1,37142,5,5.8366,5.7966,-84.08,1
1,37213,1,1.5717,2.0181,-71.47,1
1,37219,2,10.2093,9.9505,-89.20,1
